Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000023300000000503,20103003,"R$ 5.869,44","R$ 5.930,00",10,"29,5216 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000201031054535006
00000000023300000000503,20104003,"R$ 2.934,73","R$ 2.965,00",10,"29,5105 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000201041054536000
00000000023300000000503,20187003,"R$ 2.934,73","R$ 2.965,00",10,"29,5105 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000201871054618009
00000000023300000000503,20188003,"R$ 2.934,73","R$ 2.965,00",10,"29,5105 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000201881054619002
00000000023300000000503,20189003,"R$ 5.869,47","R$ 5.930,00",10,"29,5049 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000201891054620008
00000000023300000000503,20192003,"R$ 3.884,94","R$ 3.925,00",10,"29,5015 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000201921054621000
00000000023300000000503,20199003,"R$ 19.424,68","R$ 19.625,00",10,"29,5048 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000201991054630000
00000000023300000000503,20200003,"R$ 12.949,78","R$ 13.083,33",10,"29,5057 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000202001054631009
00000000023300000000503,20201003,"R$ 6.474,90","R$ 6.541,67",10,"29,5031 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000202011054628013
00000000023300000000503,20202003,"R$ 19.424,68","R$ 19.625,00",10,"29,5048 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000202021054629017
00000000023300000000503,20205003,"R$ 15.539,74","R$ 15.700,00",10,"29,5057 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190611751834000155550010000202051054633008
00000000023300000000503,20213003,"R$ 1.294,98","R$ 1.308,33",10,"29,4932 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000202131054650005
00000000023300000000503,20281003,"R$ 3.884,94","R$ 3.925,00",10,"29,5015 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000202811054695009
00000000023300000000503,20311003,"R$ 11.654,81","R$ 11.775,00",10,"29,5043 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000203111054716007
00000000023300000000503,20314003,"R$ 1.942,47","R$ 1.962,50",10,"29,5015 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000203141054717005
00000000023300000000503,20320003,"R$ 2.934,73","R$ 2.965,00",10,"29,5105 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000203201054724009
00000000023300000000503,20410002,"R$ 16.834,72","R$ 17.008,33",10,"29,5047 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000204101054788006
00000000023300000000504,20411002,"R$ 2.589,96","R$ 2.616,67",10,"29,5056 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000204111054789000
00000000023300000000504,20417002,"R$ 11.738,94","R$ 11.860,00",10,"29,5049 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000204171054810002
00000000023300000000504,20485002,"R$ 16.834,72","R$ 17.008,33",10,"29,5047 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000204851054859001
00000000023300000000504,20486002,"R$ 2.589,96","R$ 2.616,67",10,"29,5056 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000204861054860007
00000000023300000000504,20499002,"R$ 19.424,68","R$ 19.625,00",10,"29,5048 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000204991054874006
00000000023300000000504,20513002,"R$ 2.209,88","R$ 2.232,67",10,"29,5052 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190711751834000155550010000205131054882000
00000000023300000000504,20574002,"R$ 8.718,42","R$ 8.808,33",10,"29,5048 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000205741054937008
00000000023300000000504,20575002,"R$ 14.231,30","R$ 14.378,07",10,"29,5065 %",LIBRELATO S.A. IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000205751054938001
00000000023300000000504,20576002,"R$ 5.179,91","R$ 5.233,33",10,"29,5057 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000205761054939005
00000000023300000000504,20582002,"R$ 13.070,54","R$ 13.205,33",10,"29,5043 %",LIBRELATO S.A. IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000205821054948001
00000000023300000000504,20583002,"R$ 14.244,77","R$ 14.391,67",10,"29,5045 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000205831054949005
00000000023300000000504,20605002,"R$ 19.424,68","R$ 19.625,00",10,"29,5048 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000206051054977008
00000000023300000000504,20608002,"R$ 5.869,47","R$ 5.930,00",10,"29,5049 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000206081054980000
00000000023300000000504,20688001,"R$ 4.470,19","R$ 4.516,29",10,"29,5052 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000206881055053007
00000000023300000000504,20744001,"R$ 21.755,64","R$ 21.980,00",10,"29,5051 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000207441055107000
00000000023300000000504,20745001,"R$ 2.103,62","R$ 2.125,31",10,"29,4988 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000207451055108004
00000000023300000000504,20746001,"R$ 6.573,81","R$ 6.641,60",10,"29,5031 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000207461055109008
00000000023300000000504,20747001,"R$ 6.573,81","R$ 6.641,60",10,"29,5031 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000207471055110003
00000000023300000000504,20759001,"R$ 1.450,38","R$ 1.465,34",10,"29,5109 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000207591055124005
00000000023300000000504,20760001,"R$ 20.305,25","R$ 20.514,66",10,"29,5063 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190811751834000155550010000207601055125002
00000000023300000000504,20781001,"R$ 3.944,28","R$ 3.984,96",10,"29,5081 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000207811055143004
00000000023300000000504,20782001,"R$ 2.900,75","R$ 2.930,66",10,"29,4999 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000207821055144008
00000000023300000000504,20784001,"R$ 18.854,89","R$ 19.049,34",10,"29,5059 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000207841055149004
00000000023300000000504,20832001,"R$ 1.450,38","R$ 1.465,34",10,"29,5109 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000208321055189005
00000000023300000000504,20836001,"R$ 20.305,25","R$ 20.514,66",10,"29,5063 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000208361055190002
00000000023300000000504,20856001,"R$ 1.160,29","R$ 1.172,26",10,"29,5169 %",LIBRELATO S.A. IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000208561055208001
00000000023300000000504,20857001,"R$ 1.450,38","R$ 1.465,34",10,"29,5109 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000208571055209005
00000000023300000000504,20862001,"R$ 21.755,64","R$ 21.980,00",10,"29,5051 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000208621055210003
00000000023300000000504,20888001,"R$ 11.603,00","R$ 11.722,66",10,"29,5055 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190911751834000155550010000208881055230000
